ItemID,SKU,Name,Category,Color,Size,Barcode,RetailPrice,QtyOnHand,QtySold,Location,LastUpdated
1,HS-001-M,Hellstar Flame Hoodie,Clothing,Black,M,7001234567890,180.00,3,12,Rack A-1,2025-10-12
2,HS-001-L,Hellstar Flame Hoodie,Clothing,Black,L,7001234567891,180.00,2,18,Rack A-1,2025-10-12
3,HS-001-XL,Hellstar Flame Hoodie,Clothing,Black,XL,7001234567892,180.00,1,25,Rack A-1,2025-10-12
4,HS-002-M,Hellstar Racing Tee,Clothing,White,M,7001234567893,85.00,8,15,Rack A-2,2025-10-12
5,HS-002-L,Hellstar Racing Tee,Clothing,White,L,7001234567894,85.00,6,22,Rack A-2,2025-10-12
6,HS-002-XL,Hellstar Racing Tee,Clothing,White,XL,7001234567895,85.00,4,18,Rack A-2,2025-10-12
7,HS-003-M,Hellstar Logo Hoodie,Clothing,Navy,M,7001234567896,195.00,2,10,Rack A-1,2025-10-12
8,HS-003-L,Hellstar Logo Hoodie,Clothing,Navy,L,7001234567897,195.00,0,14,Rack A-1,2025-10-12
9,DT-001-M,Denim Tears Cotton Wreath Hoodie,Clothing,Brown,M,7002234567890,250.00,1,8,Rack B-1,2025-10-12
10,DT-001-L,Denim Tears Cotton Wreath Hoodie,Clothing,Brown,L,7002234567891,250.00,0,12,Rack B-1,2025-10-12
11,DT-002-M,Denim Tears Carpenter Jeans,Clothing,Light Blue,32,7002234567892,320.00,2,6,Rack B-2,2025-10-12
12,DT-002-L,Denim Tears Carpenter Jeans,Clothing,Light Blue,34,7002234567893,320.00,3,5,Rack B-2,2025-10-12
13,DT-003-M,Denim Tears Logo Tee,Clothing,Black,M,7002234567894,95.00,7,20,Rack B-3,2025-10-12
14,DT-003-L,Denim Tears Logo Tee,Clothing,Black,L,7002234567895,95.00,5,25,Rack B-3,2025-10-12
15,DT-004-M,Denim Tears Logo Tee,Clothing,White,M,7002234567896,95.00,4,18,Rack B-3,2025-10-12
16,DT-004-L,Denim Tears Logo Tee,Clothing,White,L,7002234567897,95.00,2,22,Rack B-3,2025-10-12
17,GT-001-M,Miami Heat Vice Graphic Tee,Clothing,Pink/Blue,M,7003234567890,45.00,12,35,Rack C-1,2025-10-12
18,GT-001-L,Miami Heat Vice Graphic Tee,Clothing,Pink/Blue,L,7003234567891,45.00,15,30,Rack C-1,2025-10-12
19,GT-002-M,Palm Tree Sunset Graphic Tee,Clothing,Orange,M,7003234567892,40.00,10,28,Rack C-1,2025-10-12
20,GT-002-L,Palm Tree Sunset Graphic Tee,Clothing,Orange,L,7003234567893,40.00,8,32,Rack C-1,2025-10-12
21,GT-003-M,Ocean Drive Vintage Tee,Clothing,Teal,M,7003234567894,42.00,9,22,Rack C-2,2025-10-12
22,GT-003-L,Ocean Drive Vintage Tee,Clothing,Teal,L,7003234567895,42.00,11,25,Rack C-2,2025-10-12
23,GT-004-M,South Beach Graphic Tee,Clothing,Yellow,M,7003234567896,38.00,14,40,Rack C-2,2025-10-12
24,GT-004-L,South Beach Graphic Tee,Clothing,Yellow,L,7003234567897,38.00,16,38,Rack C-2,2025-10-12
25,BP-001-M,Bape Shark Hoodie,Clothing,Green Camo,M,7004234567890,450.00,1,5,Rack D-1,2025-10-12
26,BP-001-L,Bape Shark Hoodie,Clothing,Green Camo,L,7004234567891,450.00,0,7,Rack D-1,2025-10-12
27,BP-002-M,Bape Ape Head Tee,Clothing,White,M,7004234567892,120.00,4,15,Rack D-2,2025-10-12
28,BP-002-L,Bape Ape Head Tee,Clothing,White,L,7004234567893,120.00,3,18,Rack D-2,2025-10-12
29,BP-003-M,Bape ABC Camo Tee,Clothing,Blue Camo,M,7004234567894,125.00,5,12,Rack D-2,2025-10-12
30,BP-003-L,Bape ABC Camo Tee,Clothing,Blue Camo,L,7004234567895,125.00,2,16,Rack D-2,2025-10-12
